Consonants,Occur,Freq
1,62.0,0.02920395666509656
2,58.0,0.027319830428638718
3,95.0,0.044747998115873766
4,226.0,0.10645313235986811
5,107.0,0.05040037682524729
6,43.0,0.02025435704192181
7,31.0,0.01460197833254828
8,52.0,0.024493641073951956
9,25.0,0.011775788977861516
10,50.0,0.023551577955723033
11,27.0,0.012717852096090438
12,40.0,0.018841262364578427
13,43.0,0.02025435704192181
14,22.0,0.010362694300518135
15,0.0,0.0
16,116.0,0.054639660857277436
17,0.0,0.0
18,9.0,0.004239284032030146
19,27.0,0.012717852096090438
20,29.0,0.013659915214319359
21,52.0,0.024493641073951956
22,33.0,0.015544041450777202
23,98.0,0.046161092793217146
24,101.0,0.047574187470560525
25,88.0,0.04145077720207254
26,97.0,0.045690061234102686
27,76.0,0.03579839849269901
28,25.0,0.011775788977861516
29,127.0,0.05982100800753651
30,105.0,0.04945831370701837
31,96.0,0.045219029674988226
32,91.0,0.04286387187941592
33,17.0,0.00800753650494583
34,37.0,0.017428167687235045
35,12.0,0.005652378709373528
36,6.0,0.002826189354686764
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
