Consonants,Occur,Freq
1,140.0,0.06734006734006734
2,55.0,0.026455026455026454
3,0.0,0.0
4,116.0,0.055796055796055795
5,55.0,0.026455026455026454
6,149.0,0.07166907166907167
7,111.0,0.05339105339105339
8,0.0,0.0
9,148.0,0.07118807118807119
10,30.0,0.01443001443001443
11,0.0,0.0
12,43.0,0.02068302068302068
13,62.0,0.029822029822029823
14,0.0,0.0
15,0.0,0.0
16,100.0,0.0481000481000481
17,0.0,0.0
18,82.0,0.039442039442039445
19,70.0,0.03367003367003367
20,0.0,0.0
21,140.0,0.06734006734006734
22,24.0,0.011544011544011544
23,127.0,0.061087061087061086
24,84.0,0.04040404040404041
25,0.0,0.0
26,48.0,0.023088023088023088
27,103.0,0.04954304954304954
28,0.0,0.0
29,152.0,0.07311207311207311
30,114.0,0.05483405483405483
31,51.0,0.024531024531024532
32,0.0,0.0
33,9.0,0.004329004329004329
34,0.0,0.0
35,66.0,0.031746031746031744
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
